acpi 1.7-2
acpid 2.0.31-1
b43-fwcutter 019-2
baobab 3.32.0-1
cpupower 5.2-1
ctags 1:r20190522+g3fdf28bc-1
dconf-editor 3.32.0-1
diffutils 3.7-1
dkms 2.7.1-1
ecryptfs-utils 111-3
empathy 3.25.90+34+g78f4d4fda-3
ffmpegthumbnailer 2.2.0-2
file-roller 3.32.1-1
firefox 68.0.1-1
flatpak 1.4.2-1
gnome-backgrounds 3.32.0-1
gnome-calculator 3.32.1-1
gnome-calendar 3.32.2-2
gnome-characters 3.32.1-1
gnome-clocks 3.32.0-2
gnome-contacts 3.32.1-1
gnome-disk-utility 3.32.1-1
gnome-font-viewer 3.32.0-1
gnome-getting-started-docs 3.32.1-1
gnome-maps 3.32.2.1-1
gnome-notes 3.32.1-1
gnome-screenshot 3.32.0-1
gnome-system-log 3.9.90+160+g4b07190-1
gnome-system-monitor 3.32.1-1
gnome-todo 3.28.1+17+gb2ffd8f-1
gnome-tweaks 3.32.0-1
gnome-user-docs 3.32.2-1
gnome-weather 3.32.2-1
go 2:1.12.7-1
gparted 1.0.0-1
grub-theme-manjaro 18.1-1
gthumb 3.8.0-1
gtksourceview-pkgbuild 4-2
gufw 18.10.0-1
hexchat 2.14.2-3
imagewriter 1.10.1420800585.134a9b3-4
intel-ucode 20190618-1
iputils 20180629.f6aac8d-4
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
kernel-alive 0.4-1
lib32-mesa-demos 8.4.0-1
licenses 20181104-1
logrotate 3.15.0-1
lollypop 1.1.4.2-1
man-db 2.8.5-2
man-pages 5.01-1
manjaro-alsa 2012.11-1
manjaro-artwork 1.0.8-4
manjaro-aur-support 0.6-3
manjaro-browser-settings 20181222-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-gdm-check 20180419-1
manjaro-gnome-assets 20190609-1
manjaro-gnome-vanilla 0.2-1
manjaro-hotfixes 2018.08-6
manjaro-printer 20170501-1
manjaro-pulse 2012.11-1
manjaro-release 18.0.4-1
manjaro-system 20190429-1
mc 4.8.23-1
memtest86+ 5.01-3
mhwd-tui 0.4-1
microsoft-office-online-jak 19.06.2-3
mkinitcpio-openswap 0.1.0-2
mousetweaks 3.32.0-1
nano 4.3-1
nautilus-admin 1.1.9-1
nautilus-empty-file 1.2-1
neovim 0.3.8-1
netctl 1.20-1
networkmanager-openconnect 1.2.5dev+110+g524a2e0-2
networkmanager-openvpn 1.8.10-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
nfs-utils 2.4.1-1
ntp 4.2.8.p13-2
numlockx 1.2-4
pacui 1.12-1
polkit-gnome 0.105-4
powertop 2.10-1
pulseaudio-ctl 1.66-1
pulseaudio-zeroconf 12.2-2
simple-scan 3.32.2.1-1
spectre-meltdown-checker 0.42-1
steam-manjaro 1.0.0.61-2
sushi 3.32.1-1
systemd-fsck-silent 239-1
telepathy-accounts-signon 1.0-4
terminus-font 4.47-2
tig 2.4.1-2
timeshift 19.01-1
tlp 1.2.2-1.1
totem 3.32.1-1
transmission-gtk 2.94-1
ttf-inconsolata 1:2.0.0.1-3
ttf-indic-otf 0.2-9
uget 2.2.2-2
vi 1:070224-3
vino 3.22.0+60+gd29a4f2-1
wallpapers-2018 1.0-1
which 2.21-3
xdg-su 1.2.3-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-keyboard 1.9.0-3
xf86-input-mouse 1.9.3-1
xf86-input-void 1.4.1-4
xf86-input-wacom 0.37.0-1
xf86-video-vesa 2.4.0-2
xorg-xinit 1.4.1-1
